iter	Passed	Remaining
800	2506	622
801	2508	619
802	2510	615
803	2512	612
804	2515	609
805	2517	605
806	2520	602
807	2523	599
808	2524	596
809	2526	592
810	2528	589
811	2531	586
812	2538	583
813	2543	581
814	2547	578
815	2553	575
816	2555	572
817	2556	568
818	2558	565
819	2560	562
820	2562	558
821	2564	555
822	2568	552
823	2569	548
824	2571	545
825	2573	542
826	2575	538
827	2577	535
828	2581	532
829	2583	529
830	2585	525
831	2587	522
832	2589	519
833	2590	515
834	2592	512
835	2596	509
836	2598	505
837	2599	502
838	2601	499
839	2603	495
840	2605	492
841	2607	489
842	2610	486
843	2612	482
844	2614	479
845	2615	476
846	2617	472
847	2619	469
848	2621	466
849	2624	463
850	2626	459
851	2628	456
852	2630	453
853	2633	450
854	2639	447
855	2642	444
856	2644	441
857	2646	437
858	2648	434
859	2650	431
860	2654	428
861	2656	425
862	2658	422
863	2660	418
864	2662	415
865	2664	412
866	2668	409
867	2670	406
868	2671	402
869	2673	399
870	2675	396
871	2677	392
872	2678	389
873	2682	386
874	2684	383
875	2686	380
876	2688	377
877	2689	373
878	2691	370
879	2693	367
880	2695	364
881	2698	361
882	2700	357
883	2702	354
884	2704	351
885	2707	348
886	2713	345
887	2718	342
888	2721	339
889	2723	336
890	2725	333
891	2729	330
892	2731	327
893	2733	324
894	2736	321
895	2739	317
896	2744	315
897	2746	311
898	2748	308
899	2751	305
900	2753	302
901	2758	299
902	2760	296
903	2763	293
904	2764	290
905	2766	287
906	2768	283
907	2771	280
908	2774	277
909	2776	274
910	2778	271
911	2780	268
912	2782	265
913	2784	262
914	2787	258
915	2789	255
916	2791	252
917	2793	249
918	2795	246
919	2797	243
920	2802	240
921	2804	237
922	2806	234
923	2809	231
924	2811	227
925	2814	224
926	2817	221
927	2819	218
928	2821	215
929	2823	212
930	2825	209
931	2827	206
932	2830	203
933	2832	200
934	2834	197
935	2836	193
936	2838	190
937	2839	187
938	2841	184
939	2843	181
940	2846	178
941	2848	175
942	2850	172
943	2852	169
944	2854	166
945	2855	163
946	2857	159
947	2860	156
948	2861	153
949	2863	150
950	2865	147
951	2867	144
952	2868	141
953	2871	138
954	2874	135
955	2877	132
956	2878	129
957	2880	126
958	2882	123
959	2884	120
960	2888	117
961	2891	114
962	2893	111
963	2895	108
964	2898	105
965	2900	102
966	2902	99
967	2904	96
968	2906	92
969	2908	89
970	2909	86
971	2911	83
972	2915	80
973	2918	77
974	2920	74
975	2923	71
976	2926	68
977	2930	65
978	2934	62
979	2936	59
980	2940	56
981	2946	54
982	2948	50
983	2951	47
984	2953	44
985	2955	41
986	2959	38
987	2962	35
988	2963	32
989	2965	29
990	2967	26
991	2969	23
992	2971	20
993	2975	17
994	2977	14
995	2979	11
996	2981	8
997	2983	5
998	2985	2
999	2989	0
